Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
11288-MAD,Male,52,No,"Madhya Pradesh",6,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Credit Card",20.20,917.45,0.00,0.00,2112.32,3029.77,Stayed,Others,Others
11290-JAM,Female,70,Yes,"Jammu & Kashmir",0,36,"Deal 5",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.45,396.10,0.00,0.00,126.44,522.54,Churned,Competitor,"Competitor made better offer"
11301-WES,Female,31,No,"West Bengal",7,5,"Deal 3",Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,"One Year",Yes,"Credit Card",51.55,1295.40,0.00,0.00,641.42,1936.82,Stayed,Others,Others
11310-RAJ,Female,78,Yes,Rajasthan,0,15,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",102.15,4735.35,0.00,0.00,1535.40,6270.75,Stayed,Others,Others
11340-JAM,Female,21,No,"Jammu & Kashmir",8,7,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Bank Withdrawal",19.95,219.50,0.00,0.00,78.60,298.10,Stayed,Others,Others
11348-MAH,Female,46,No,Maharashtra,11,19,"Deal 3",Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",56.05,1522.65,0.00,110.00,1235.08,2867.73,Stayed,Others,Others
11359-AND,Female,28,Yes,"Andhra Pradesh",3,6,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",20.50,290.55,0.00,0.00,435.84,726.39,Stayed,Others,Others
11370-TAM,Female,21,No,"Tamil Nadu",15,10,"Deal 4",Yes,No,Yes,Cable,No,No,No,Yes,No,Yes,Yes,Yes,"One Year",No,"Credit Card",59.10,772.85,0.00,0.00,476.14,1248.99,Stayed,Others,Others
11392-JAM,Female,39,Yes,"Jammu & Kashmir",11,1,"Deal 2",Yes,No,Yes,"Fiber Optic",Yes,No,Yes,Yes,No,No,No,Yes,"One Year",No,"Bank Withdrawal",84.40,4484.05,0.00,0.00,1655.64,6139.69,Stayed,Others,Others
11392-KAR,Female,28,Yes,Karnataka,9,32,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",112.55,7806.50,0.00,0.00,235.29,8041.79,Stayed,Others,Others
11410-AND,Male,80,No,"Andhra Pradesh",1,4,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",101.55,5070.40,0.00,0.00,1217.16,6287.56,Stayed,Others,Others
11450-HAR,Male,60,Yes,Haryana,5,18,None,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Two Year",No,"Credit Card",75.55,4707.85,0.00,0.00,398.79,5106.64,Stayed,Others,Others
11464-WES,Male,25,No,"West Bengal",12,5,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",99.85,1992.55,0.00,0.00,522.06,2514.61,Stayed,Others,Others
11472-PUN,Female,33,No,Punjab,8,6,"Deal 5",Yes,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",55.40,55.40,0.00,0.00,13.01,68.41,Churned,Competitor,"Competitor had better devices"
11474-TEL,Male,59,Yes,Telangana,0,18,None,Yes,No,Yes,"Fiber Optic",Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",75.60,661.55,0.00,0.00,189.99,851.54,Stayed,Others,Others
11510-KER,Female,46,No,Kerala,10,4,None,Yes,No,Yes,"Fiber Optic",No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.90,827.45,0.00,0.00,277.20,1104.65,Stayed,Others,Others
11535-WES,Male,43,No,"West Bengal",5,23,"Deal 2",No,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",58.75,3038.55,0.00,0.00,0.00,3038.55,Stayed,Others,Others
11540-DEL,Male,63,Yes,Delhi,15,15,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",104.10,5135.15,0.00,0.00,2288.43,7423.58,Stayed,Others,Others
11540-MAH,Female,50,Yes,Maharashtra,6,20,"Deal 2",No,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",46.20,2431.95,0.00,0.00,0.00,2431.95,Stayed,Others,Others
11543-WES,Female,35,Yes,"West Bengal",0,7,None,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",49.40,874.80,0.00,0.00,375.48,1250.28,Churned,Other,Deceased
11596-KAR,Female,40,No,Karnataka,15,11,"Deal 4",Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",49.20,571.15,0.00,80.00,114.96,766.11,Stayed,Others,Others
11604-HAR,Female,38,Yes,Haryana,4,8,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",104.40,6721.60,0.00,0.00,892.80,7614.40,Stayed,Others,Others
11616-TAM,Male,26,No,"Tamil Nadu",6,2,None,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",68.70,1416.20,0.00,0.00,650.00,2066.20,Stayed,Others,Others
11647-GUJ,Male,44,No,Gujarat,2,4,"Deal 4",Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",69.10,1083.70,0.00,0.00,223.84,1307.54,Stayed,Others,Others
11647-TAM,Male,81,No,"Tamil Nadu",1,21,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,Yes,No,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",93.75,5625.55,0.00,0.00,125.97,5751.52,Stayed,Others,Others
11663-GUJ,Male,28,No,Gujarat,13,13,"Deal 1",Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",59.75,4069.90,0.00,0.00,3408.60,7478.50,Stayed,Others,Others
11679-PUN,Female,38,Yes,Punjab,13,35,"Deal 4",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",98.70,973.25,0.00,0.00,373.60,1346.85,Churned,Attitude,"Attitude of support person"
11691-RAJ,Female,68,Yes,Rajasthan,13,10,"Deal 1",Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes,"Two Year",No,"Credit Card",77.35,5396.25,0.00,0.00,2424.96,7821.21,Stayed,Others,Others
11713-MAD,Female,22,Yes,"Madhya Pradesh",4,5,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,"Mailed Check",74.60,74.60,0.00,10.00,22.16,106.76,Churned,Competitor,"Competitor offered more data"
11744-TAM,Female,52,No,"Tamil Nadu",11,12,None,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes,"One Year",Yes,"Credit Card",70.15,4224.70,0.00,0.00,2332.80,6557.50,Stayed,Others,Others
11751-UTT,Male,39,No,"Uttar Pradesh",4,23,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",100.60,1060.20,0.00,0.00,452.10,1512.30,Churned,Competitor,"Competitor offered more data"
11765-PUD,Male,32,Yes,Puducherry,10,36,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",19.50,1167.60,19.89,0.00,2401.98,3549.69,Stayed,Others,Others
11770-PUN,Male,38,Yes,Punjab,2,4,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",20.15,970.85,0.00,0.00,947.50,1918.35,Stayed,Others,Others
11799-MAH,Male,45,No,Maharashtra,5,23,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",99.40,5943.65,0.00,0.00,924.15,6867.80,Stayed,Others,Others
11799-TAM,Male,33,No,"Tamil Nadu",9,20,None,No,No,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Mailed Check",45.30,45.30,0.00,0.00,0.00,45.30,Churned,Competitor,"Competitor had better devices"
11802-TAM,Male,34,No,"Tamil Nadu",0,8,"Deal 2",Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",25.55,1336.10,37.37,0.00,1765.43,3064.16,Stayed,Others,Others
11814-GUJ,Female,45,Yes,Gujarat,12,9,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",105.55,6281.45,0.00,0.00,2787.70,9069.15,Churned,Competitor,"Competitor had better devices"
11850-MAH,Male,74,Yes,Maharashtra,5,6,None,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,"Two Year",No,"Credit Card",75.15,3480.35,0.00,0.00,422.55,3902.90,Stayed,Others,Others
11873-HAR,Male,45,Yes,Haryana,9,10,"Deal 2",Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",50.25,2221.55,0.00,0.00,292.05,2513.60,Stayed,Others,Others
11878-RAJ,Male,75,Yes,Rajasthan,15,17,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",71.80,1167.80,0.00,0.00,734.40,1902.20,Churned,Competitor,"Competitor offered more data"
11882-BIH,Female,74,No,Bihar,14,15,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,"Bank Withdrawal",78.95,378.40,0.00,0.00,61.35,439.75,Churned,Attitude,"Attitude of support person"
11887-MAD,Female,33,No,"Madhya Pradesh",2,33,"Deal 2",Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",69.10,3168.00,0.00,0.00,1466.48,4634.48,Stayed,Others,Others
11899-MAH,Male,74,No,Maharashtra,3,11,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,No,Yes,Yes,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",103.90,6767.10,0.00,0.00,102.70,6869.80,Stayed,Others,Others
11906-MAD,Female,53,No,"Madhya Pradesh",2,29,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",79.30,523.15,0.00,10.00,134.47,667.62,Churned,Competitor,"Competitor had better devices"
11918-UTT,Male,66,No,"Uttar Pradesh",13,32,"Deal 3",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,No,No,No,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",94.55,3365.40,0.00,0.00,715.40,4080.80,Stayed,Others,Others
11920-HAR,Female,61,Yes,Haryana,10,24,"Deal 5",Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",63.60,155.65,0.00,0.00,10.92,166.57,Churned,Competitor,"Competitor offered higher download speeds"
11922-PUN,Female,48,Yes,Punjab,5,2,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",105.00,7589.80,0.00,0.00,473.76,8063.56,Stayed,Others,Others
11925-MAH,Female,78,Yes,Maharashtra,12,12,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",25.20,1306.30,0.00,0.00,1571.50,2877.80,Stayed,Others,Others
11939-UTT,Male,65,Yes,"Uttar Pradesh",5,5,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",80.45,583.45,0.00,0.00,215.92,799.37,Churned,Other,"Don't know"
11952-RAJ,Female,45,No,Rajasthan,3,10,None,Yes,No,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",71.35,515.75,0.00,0.00,349.86,865.61,Stayed,Others,Others
11952-TEL,Female,42,Yes,Telangana,0,4,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",95.60,1555.65,0.00,0.00,303.84,1859.49,Churned,Attitude,"Attitude of service provider"
11958-TAM,Female,29,No,"Tamil Nadu",2,23,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",108.45,4964.70,0.00,0.00,268.65,5233.35,Stayed,Others,Others
11965-BIH,Female,38,Yes,Bihar,4,21,"Deal 3",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,"Credit Card",-8.00,3204.65,35.82,110.00,1074.24,4353.07,Churned,Competitor,"Competitor made better offer"
11987-PUN,Female,43,No,Punjab,14,6,None,Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,Yes,"One Year",No,"Bank Withdrawal",69.45,477.05,0.00,0.00,132.37,609.42,Stayed,Others,Others
11991-RAJ,Male,66,Yes,Rajasthan,14,15,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"One Year",No,"Bank Withdrawal",113.35,7222.75,0.00,20.00,437.12,7679.87,Stayed,Others,Others
12016-TAM,Female,57,Yes,"Tamil Nadu",0,9,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Mailed Check",20.05,164.85,0.00,0.00,337.54,502.39,Churned,Other,Moved
12052-PUN,Female,33,No,Punjab,11,31,None,Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",115.00,7396.15,0.00,0.00,2972.16,10368.31,Stayed,Others,Others
12069-UTT,Female,30,Yes,"Uttar Pradesh",10,14,"Deal 4",Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",59.65,683.25,0.00,0.00,232.54,915.79,Stayed,Others,Others
12079-MAH,Female,73,Yes,Maharashtra,2,4,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",79.90,260.90,0.00,0.00,8.94,269.84,Churned,Price,"Price too high"
12112-MAD,Female,27,No,"Madhya Pradesh",14,4,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",20.45,150.75,0.00,0.00,40.88,191.63,Stayed,Others,Others
12118-TAM,Female,23,No,"Tamil Nadu",7,3,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",85.55,5084.65,0.00,0.00,407.69,5492.34,Churned,Competitor,"Competitor offered more data"
12149-JAM,Female,66,Yes,"Jammu & Kashmir",7,26,"Deal 5",Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",84.50,453.75,0.00,0.00,184.40,638.15,Churned,Competitor,"Competitor made better offer"
12170-AND,Female,38,Yes,"Andhra Pradesh",15,2,"Deal 4",Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,Yes,No,No,No,"One Year",No,"Mailed Check",77.50,1625.00,18.39,80.00,368.97,2055.58,Churned,Other,"Don't know"
12193-KER,Male,56,Yes,Kerala,15,4,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",109.15,6557.75,0.00,0.00,2387.73,8945.48,Stayed,Others,Others
12210-AND,Male,66,No,"Andhra Pradesh",9,31,None,No,No,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",34.30,577.15,0.00,0.00,0.00,577.15,Stayed,Others,Others
12210-DEL,Female,52,No,Delhi,0,31,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",20.30,224.50,0.00,0.00,231.36,455.86,Stayed,Others,Others
12225-TAM,Female,25,No,"Tamil Nadu",13,14,"Deal 1",Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Mailed Check",85.25,5714.20,1.31,0.00,583.57,6296.46,Stayed,Others,Others
12236-BIH,Female,34,Yes,Bihar,5,11,"Deal 5",Yes,No,Yes,"Fiber Optic",No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,"Credit Card",85.30,420.45,0.00,10.00,228.70,659.15,Stayed,Others,Others
12255-KER,Female,54,Yes,Kerala,8,2,"Deal 1",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Bank Withdrawal",20.35,1359.50,0.00,0.00,2971.98,4331.48,Stayed,Others,Others
12266-HAR,Female,46,No,Haryana,2,5,None,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",79.65,3870.30,0.00,0.00,429.12,4299.42,Stayed,Others,Others
12272-WES,Male,66,No,"West Bengal",9,8,None,No,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,No,"Two Year",No,"Credit Card",39.10,1982.10,0.00,130.00,0.00,2112.10,Stayed,Others,Others
12281-RAJ,Male,80,No,Rajasthan,14,25,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",78.10,864.85,0.00,0.00,194.26,1059.11,Stayed,Others,Others
12296-MAD,Male,65,Yes,"Madhya Pradesh",14,2,None,No,No,Yes,Cable,Yes,No,Yes,No,No,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",45.00,1228.65,0.00,0.00,0.00,1228.65,Stayed,Others,Others
12303-BIH,Female,56,No,Bihar,7,14,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",88.55,6362.35,0.00,0.00,3319.20,9681.55,Stayed,Others,Others
12305-AND,Male,28,Yes,"Andhra Pradesh",13,22,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Credit Card",20.35,422.70,0.00,0.00,473.13,895.83,Stayed,Others,Others
12337-MAH,Male,28,No,Maharashtra,11,8,"Deal 4",Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",58.60,939.70,0.00,0.00,221.85,1161.55,Churned,Dissatisfaction,"Service dissatisfaction"
12341-HAR,Female,38,No,Haryana,9,29,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",83.05,1799.30,0.00,0.00,252.12,2051.42,Stayed,Others,Others
12342-KER,Male,76,No,Kerala,9,3,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,No,Yes,"Two Year",Yes,"Credit Card",99.65,6951.15,3.33,0.00,2439.56,9387.38,Stayed,Others,Others
12345-TEL,Female,71,Yes,Telangana,9,34,None,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.25,1233.65,48.09,0.00,412.10,1597.66,Churned,Competitor,"Competitor had better devices"
12370-JAM,Female,49,Yes,"Jammu & Kashmir",2,29,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",85.95,381.30,0.00,0.00,16.56,397.86,Churned,Competitor,"Competitor made better offer"
12377-JAM,Female,56,No,"Jammu & Kashmir",2,3,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",19.40,641.15,0.00,0.00,395.20,1036.35,Stayed,Others,Others
12377-UTT,Female,18,No,"Uttar Pradesh",15,2,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Credit Card",24.35,538.50,0.00,0.00,1104.46,1642.96,Stayed,Others,Others
12378-KAR,Female,46,Yes,Karnataka,7,20,"Deal 3",Yes,No,Yes,"Fiber Optic",No,Yes,No,Yes,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",91.25,2483.65,0.00,0.00,383.32,2866.97,Stayed,Others,Others
12382-WES,Male,33,No,"West Bengal",10,7,None,Yes,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",81.00,3084.90,0.00,0.00,837.90,3922.80,Stayed,Others,Others
12390-KAR,Male,24,Yes,Karnataka,9,12,None,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,Yes,"Two Year",Yes,"Credit Card",66.50,4811.60,45.61,0.00,438.48,5204.47,Stayed,Others,Others
12391-TEL,Male,40,No,Telangana,9,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Credit Card",19.80,572.20,0.00,0.00,1337.48,1909.68,Stayed,Others,Others
12426-KER,Male,35,No,Kerala,12,30,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,Yes,Yes,No,"One Year",No,"Credit Card",90.45,5825.50,0.00,100.00,580.23,6505.73,Stayed,Others,Others
12429-JAM,Female,54,Yes,"Jammu & Kashmir",6,16,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",24.25,838.50,0.00,0.00,329.01,1167.51,Stayed,Others,Others
12437-TAM,Female,41,Yes,"Tamil Nadu",15,20,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Credit Card",20.50,1035.70,0.00,0.00,584.82,1620.52,Stayed,Others,Others
12443-AND,Female,48,Yes,"Andhra Pradesh",15,9,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,"Credit Card",-7.00,80.15,0.00,0.00,4.67,84.82,Churned,Attitude,"Attitude of support person"
12476-HAR,Female,50,No,Haryana,1,21,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",19.80,202.25,0.00,0.00,132.48,334.73,Stayed,Others,Others
12505-GUJ,Male,29,No,Gujarat,0,7,None,Yes,No,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",95.65,167.30,0.00,0.00,33.52,200.82,Churned,Dissatisfaction,"Limited range of services"
